"ID","Replicate Number","Herbarium Destination","NOCA Acc .","NOCA Catalog .","Label title","Family","Full Scientific Name","Genus","species","Author","Subtaxon rank","Subtaxon","Subtaxon author","Subtaxon2 rank","Subtaxon2 author","Determination Notes","Determiner","Determination Day","Determination Month","Determination Year","Fide","Determination_Notes","Collector","Collector Number Prefix","Collector Number","Collector Number Suffix","Associated Collectors","Collection Day","Collection Month","Collection Year","Country","State","County","Locality","Elevation (ft)","Upper elevation range (ft)","Elevation (meters)","Upper elevation range (meters)","Degrees Lat","Minutes Lat","Seconds Lat","Degrees Long","Minutes Long","Seconds Long","Datum","Accuracy (meters)","Source","UTM Zone","Easting","Northing","Datum_UTM","Accuracy (m)","Source_UTM","Site Description","Specimen Details","Origin","Phenology","Conservation Status","GISlocID","Final_UTME","Final_UTMN","FinalUTM_Datum","Coord_checked","Coord_checked_by"
700,1.00,"NOCA","NOCA-00832","NOCA 31196","2006 North Cascades National Park Foray","Apiaceae","Lomatium geyeri","Lomatium","geyeri","(Wats.) Coult. & Rose",,,,,,,"Ben Legler",16.00,"Aug",2006.00,"Flora of PNW",,"Diane Doss","06-",12.00,,"David Giblin, Anders Huseth, Cheryl Lowe",28.00,"Jun",2006.00,"USA","Washington","Chelan","Stehekin Valley. Southwest side of McGregor Mountain. West side of Coon Creek along the McGregor Mountain trail.",3066.00,,934.00,,48.00,23.81,,120.00,49.56,,"WGS 84",,"GPS Reading",10.00,660918.44,5362693.34,"WGS 84",,"Calc. from Lat-Lon","Coniferous forest dominated by Pseudotsuga menziesii and Pinus ponderosa, interspersed with open shrublands dominated by Ceanothus velutinus and Paxistima myrsinites. Aspect southwest. Slope: 15- 22 degrees. Partial shade. Edge of trail.","Occasional.","Native","Fruiting",,"{F3CE874A-BF3E-45C6-830A-8D62D6E25752}",660918.44,5362693.34,"NAD83","OK","Natalya Antonova"
701,2.00,"Stehekin","NOCA-00832","NOCA 31197","2006 North Cascades National Park Foray","Apiaceae","Lomatium geyeri","Lomatium","geyeri","(Wats.) Coult. & Rose",,,,,,,"Ben Legler",16.00,"Aug",2006.00,"Flora of PNW",,"Diane Doss","06-",12.00,,"David Giblin, Anders Huseth, Cheryl Lowe",28.00,"Jun",2006.00,"USA","Washington","Chelan","Stehekin Valley. Southwest side of McGregor Mountain. West side of Coon Creek along the McGregor Mountain trail.",3066.00,,934.00,,48.00,23.81,,120.00,49.56,,"WGS 84",,"GPS Reading",10.00,660918.44,5362693.34,"WGS 84",,"Calc. from Lat-Lon","Coniferous forest dominated by Pseudotsuga menziesii and Pinus ponderosa, interspersed with open shrublands dominated by Ceanothus velutinus and Paxistima myrsinites. Aspect southwest. Slope: 15- 22 degrees. Partial shade. Edge of trail.","Occasional.","Native","Fruiting",,"{F3CE874A-BF3E-45C6-830A-8D62D6E25752}",660918.44,5362693.34,"NAD83","OK","Natalya Antonova"
702,1.00,"NOCA","NOCA-00832","NOCA 31742","2006 North Cascades National Park Foray","Caprifoliaceae","Lonicera ciliosa","Lonicera","ciliosa","(Pursh) DC.",,,,,,,"Ben Legler",18.00,"Sep",2006.00,"Flora of PNW",,"Barbara Smith","06-",24.00,,,29.00,"Jun",2006.00,"USA","Washington","Chelan","Lake Chelan National Recreation Area. North end of Coon Lake along trail. 1 kilometer northeast of High Bridge in Stehekin River Valley.",2180.00,,664.00,,48.00,23.00,27.40,120.00,50.00,3.30,"WGS 84",9.00,"GPS reading",10.00,660330.00,5362022.00,"WGS 84",9.00,"GPS reading","Mixed conifer forest with Pseudotsuga, ,Tsuga, Abies, Pinus and Thuja. Understory of Vaccinium, Smilacina, Disporum and Clintonia.","Corolla bright orange. Scattered clambering vines.","Native","Flowering",,"{7639C12B-F9C5-434C-9C52-2E0EC083D965}",660329.99,5362021.99,"NAD83","OK","Natalya Antonova"
703,2.00,"Stehekin","NOCA-00832","NOCA 31743","2006 North Cascades National Park Foray","Caprifoliaceae","Lonicera ciliosa","Lonicera","ciliosa","(Pursh) DC.",,,,,,,"Ben Legler",18.00,"Sep",2006.00,"Flora of PNW",,"Barbara Smith","06-",24.00,,,29.00,"Jun",2006.00,"USA","Washington","Chelan","Lake Chelan National Recreation Area. North end of Coon Lake along trail. 1 kilometer northeast of High Bridge in Stehekin River Valley.",2180.00,,664.00,,48.00,23.00,27.40,120.00,50.00,3.30,"WGS 84",9.00,"GPS reading",10.00,660330.00,5362022.00,"WGS 84",9.00,"GPS reading","Mixed conifer forest with Pseudotsuga, ,Tsuga, Abies, Pinus and Thuja. Understory of Vaccinium, Smilacina, Disporum and Clintonia.","Corolla bright orange. Scattered clambering vines.","Native","Flowering",,"{7639C12B-F9C5-434C-9C52-2E0EC083D965}",660329.99,5362021.99,"NAD83","OK","Natalya Antonova"
704,3.00,"WTU","NOCA-00832","NOCA 31744","2006 North Cascades National Park Foray","Caprifoliaceae","Lonicera ciliosa","Lonicera","ciliosa","(Pursh) DC.",,,,,,,"Ben Legler",18.00,"Sep",2006.00,"Flora of PNW",,"Barbara Smith","06-",24.00,,,29.00,"Jun",2006.00,"USA","Washington","Chelan","Lake Chelan National Recreation Area. North end of Coon Lake along trail. 1 kilometer northeast of High Bridge in Stehekin River Valley.",2180.00,,664.00,,48.00,23.00,27.40,120.00,50.00,3.30,"WGS 84",9.00,"GPS reading",10.00,660330.00,5362022.00,"WGS 84",9.00,"GPS reading","Mixed conifer forest with Pseudotsuga, ,Tsuga, Abies, Pinus and Thuja. Understory of Vaccinium, Smilacina, Disporum and Clintonia.","Corolla bright orange. Scattered clambering vines.","Native","Flowering",,"{7639C12B-F9C5-434C-9C52-2E0EC083D965}",660329.99,5362021.99,"NAD83","OK","Natalya Antonova"
705,1.00,"NOCA","NOCA-00832","NOCA 31756","2006 North Cascades National Park Foray","Caprifoliaceae","Lonicera involucrata","Lonicera","involucrata","(Rich.) Banks",,,,,,,"David Giblin",19.00,"Oct",2006.00,"H&C",,"Barbara Smith","06-",29.00,,,29.00,"Jun",2006.00,"USA","Washington","Chelan","Lake Chelan National Recreation Area; Northeast side of Coon Lake where creek enters lake. One kilometer northeast of High Bridge in Stehekin River Valley. ",2170.00,,661.00,,48.00,23.00,26.80,120.00,49.00,57.50,"WGS 84",8.00,"GPS reading",10.00,660447.00,5362004.00,"WGS 84",8.00,"GPS reading","Moist deciduous forest and brushy thickets, with Acer macrophyllum, Alnus sp., Cornus sericea, Rubus parviflorus, Viola sp.","Berries dark red-black; bracts red; occasional shrubs to 3 meters tall.","Native","Fruiting",,"{B8E8BFCF-89E5-4AE6-8D6D-F1A9A9F41790}",660446.99,5362003.99,"NAD83","OK","Natalya Antonova"
706,2.00,"Stehekin","NOCA-00832","NOCA 31757","2006 North Cascades National Park Foray","Caprifoliaceae","Lonicera involucrata","Lonicera","involucrata","(Rich.) Banks",,,,,,,"David Giblin",19.00,"Oct",2006.00,"H&C",,"Barbara Smith","06-",29.00,,,29.00,"Jun",2006.00,"USA","Washington","Chelan","Lake Chelan National Recreation Area; Northeast side of Coon Lake where creek enters lake. One kilometer northeast of High Bridge in Stehekin River Valley. ",2170.00,,661.00,,48.00,23.00,26.80,120.00,49.00,57.50,"WGS 84",8.00,"GPS reading",10.00,660447.00,5362004.00,"WGS 84",8.00,"GPS reading","Moist deciduous forest and brushy thickets, with Acer macrophyllum, Alnus sp., Cornus sericea, Rubus parviflorus, Viola sp.","Berries dark red-black; bracts red; occasional shrubs to 3 meters tall.","Native","Fruiting",,"{B8E8BFCF-89E5-4AE6-8D6D-F1A9A9F41790}",660446.99,5362003.99,"NAD83","OK","Natalya Antonova"
707,3.00,"WTU","NOCA-00832","NOCA 31758","2006 North Cascades National Park Foray","Caprifoliaceae","Lonicera involucrata","Lonicera","involucrata","(Rich.) Banks",,,,,,,"David Giblin",19.00,"Oct",2006.00,"H&C",,"Barbara Smith","06-",29.00,,,29.00,"Jun",2006.00,"USA","Washington","Chelan","Lake Chelan National Recreation Area; Northeast side of Coon Lake where creek enters lake. One kilometer northeast of High Bridge in Stehekin River Valley. ",2170.00,,661.00,,48.00,23.00,26.80,120.00,49.00,57.50,"WGS 84",8.00,"GPS reading",10.00,660447.00,5362004.00,"WGS 84",8.00,"GPS reading","Moist deciduous forest and brushy thickets, with Acer macrophyllum, Alnus sp., Cornus sericea, Rubus parviflorus, Viola sp.","Berries dark red-black; bracts red; occasional shrubs to 3 meters tall.","Native","Fruiting",,"{B8E8BFCF-89E5-4AE6-8D6D-F1A9A9F41790}",660446.99,5362003.99,"NAD83","OK","Natalya Antonova"
708,1.00,"NOCA","NOCA-00832","NOCA 32299","2006 North Cascades National Park Foray","Caprifoliaceae","Lonicera involucrata var. involucrata","Lonicera","involucrata","(Rich.) Banks","var.","involucrata",,,,,"Ben Legler",26.00,"Oct",2006.00,"Flora of PNW",,"Nathan Walker","06-",19.00,,,28.00,"Jul",2006.00,"USA","Washington","Chelan","North Cascades National Park.  North shore of Dagger Lake, circa 3 air miles southeast of Rainy Pass.",5508.00,,1679.00,,48.00,28.12,,120.00,39.34,,"WGS 84",4.00,"GPS reading",10.00,673280.64,5371063.85,"WGS 84",4.00,"Calc. from Lat-Lon","Wet subalpine meadows, mostly flat with Eriophorum, Carex species, Viola palustris, scattered Abies lasiocarpa, Picea engelmannii.","Fruits deep maroon-black; shrubs to 2 meters tall.","Native","Fruiting",,"{0D7C4BB0-D928-4929-BF47-E718C6EA461D}",673280.64,5371063.85,"NAD83","OK","Natalya Antonova"
709,2.00,"WTU","NOCA-00832","NOCA 32300","2006 North Cascades National Park Foray","Caprifoliaceae","Lonicera involucrata var. involucrata","Lonicera","involucrata","(Rich.) Banks","var.","involucrata",,,,,"Ben Legler",26.00,"Oct",2006.00,"Flora of PNW",,"Nathan Walker","06-",19.00,,,28.00,"Jul",2006.00,"USA","Washington","Chelan","North Cascades National Park.  North shore of Dagger Lake, circa 3 air miles southeast of Rainy Pass.",5508.00,,1679.00,,48.00,28.12,,120.00,39.34,,"WGS 84",4.00,"GPS reading",10.00,673280.64,5371063.85,"WGS 84",4.00,"Calc. from Lat-Lon","Wet subalpine meadows, mostly flat with Eriophorum, Carex species, Viola palustris, scattered Abies lasiocarpa, Picea engelmannii.","Fruits deep maroon-black; shrubs to 2 meters tall.","Native","Fruiting",,"{0D7C4BB0-D928-4929-BF47-E718C6EA461D}",673280.64,5371063.85,"NAD83","OK","Natalya Antonova"
710,3.00,"UBC","NOCA-00832","NOCA 32301","2006 North Cascades National Park Foray","Caprifoliaceae","Lonicera involucrata var. involucrata","Lonicera","involucrata","(Rich.) Banks","var.","involucrata",,,,,"Ben Legler",26.00,"Oct",2006.00,"Flora of PNW",,"Nathan Walker","06-",19.00,,,28.00,"Jul",2006.00,"USA","Washington","Chelan","North Cascades National Park.  North shore of Dagger Lake, circa 3 air miles southeast of Rainy Pass.",5508.00,,1679.00,,48.00,28.12,,120.00,39.34,,"WGS 84",4.00,"GPS reading",10.00,673280.64,5371063.85,"WGS 84",4.00,"Calc. from Lat-Lon","Wet subalpine meadows, mostly flat with Eriophorum, Carex species, Viola palustris, scattered Abies lasiocarpa, Picea engelmannii.","Fruits deep maroon-black; shrubs to 2 meters tall.","Native","Fruiting",,"{0D7C4BB0-D928-4929-BF47-E718C6EA461D}",673280.64,5371063.85,"NAD83","OK","Natalya Antonova"
711,1.00,"NOCA","NOCA-00832","NOCA 31936","2006 North Cascades National Park Foray","Rosaceae","Luetkea pectinata","Luetkea","pectinata","(Pursh) Kuntze",,,,,,,"Ben Legler",23.00,"Oct",2006.00,"Flora of PNW",,"Maria Gerace","06-",52.00,,,29.00,"Jul",2006.00,"USA","Washington","Chelan","North Cascades National Park.  South side of Stiletto Peak.  Stiletto Lake - 100 meters south of lake.",6800.00,,2073.00,,48.00,28.84,,120.00,39.35,,"WGS 84",5.00,"GPS reading",10.00,673227.51,5372395.35,"WGS 84",5.00,"Calc. from Lat-Lon","In a matrix of bedrock outcrops, graminoids, shrubs, and herbs.  Tress are scattered in microsites in between rock outcrops, dominated by Larix lyallii.  Slopes: 0 - 208; general aspect: 150 - 1908.","Full sun; scattered in large mats; uncommon.","Native","Flowering",,"{808B007C-D548-4C13-A97F-1DD1066F5A9D}",673227.50,5372395.35,"NAD83","OK","Natalya Antonova"
712,2.00,"WTU","NOCA-00832","NOCA 31937","2006 North Cascades National Park Foray","Rosaceae","Luetkea pectinata","Luetkea","pectinata","(Pursh) Kuntze",,,,,,,"Ben Legler",23.00,"Oct",2006.00,"Flora of PNW",,"Maria Gerace","06-",52.00,,,29.00,"Jul",2006.00,"USA","Washington","Chelan","North Cascades National Park.  South side of Stiletto Peak.  Stiletto Lake - 100 meters south of lake.",6800.00,,2073.00,,48.00,28.84,,120.00,39.35,,"WGS 84",5.00,"GPS reading",10.00,673227.51,5372395.35,"WGS 84",5.00,"Calc. from Lat-Lon","In a matrix of bedrock outcrops, graminoids, shrubs, and herbs.  Tress are scattered in microsites in between rock outcrops, dominated by Larix lyallii.  Slopes: 0 - 208; general aspect: 150 - 1908.","Full sun; scattered in large mats; uncommon.","Native","Flowering",,"{808B007C-D548-4C13-A97F-1DD1066F5A9D}",673227.50,5372395.35,"NAD83","OK","Natalya Antonova"
713,3.00,"UBC","NOCA-00832","NOCA 31938","2006 North Cascades National Park Foray","Rosaceae","Luetkea pectinata","Luetkea","pectinata","(Pursh) Kuntze",,,,,,,"Ben Legler",23.00,"Oct",2006.00,"Flora of PNW",,"Maria Gerace","06-",52.00,,,29.00,"Jul",2006.00,"USA","Washington","Chelan","North Cascades National Park.  South side of Stiletto Peak.  Stiletto Lake - 100 meters south of lake.",6800.00,,2073.00,,48.00,28.84,,120.00,39.35,,"WGS 84",5.00,"GPS reading",10.00,673227.51,5372395.35,"WGS 84",5.00,"Calc. from Lat-Lon","In a matrix of bedrock outcrops, graminoids, shrubs, and herbs.  Tress are scattered in microsites in between rock outcrops, dominated by Larix lyallii.  Slopes: 0 - 208; general aspect: 150 - 1908.","Full sun; scattered in large mats; uncommon.","Native","Flowering",,"{808B007C-D548-4C13-A97F-1DD1066F5A9D}",673227.50,5372395.35,"NAD83","OK","Natalya Antonova"
714,1.00,"NOCA","NOCA-00832","NOCA 32190","2006 North Cascades National Park Foray","Asteraceae","Luina hypoleuca","Luina","hypoleuca","Benth.",,,,,,,"Ben Legler",25.00,"Oct",2006.00,"FNA vol. 20",,"Myria Rodeman","06-",14.00,,,29.00,"Jul",2006.00,"USA","Washington","Chelan","North Cascades National Park.  Lake on southeast side of Stiletto Peak, 1 mile north of Dagger Lake.",6400.00,,1951.00,,48.00,28.67,,120.00,39.35,,"WGS 84",7.00,"GPS reading",10.00,673230.94,5372082.10,"WGS 84",7.00,"Calc. from Lat-Lon","Moist rocky meadow with perennial stream, with Phyllodoce, Cassiope, Castilleja elmeri, Castilleja parviflora, Carex, Mimulus lewisii.","Heads creamy colored; stems in large clumps over rock.","Native","Flowering",,"{B3D72E82-4B83-48FF-8B72-A872E8A20EC2}",673230.94,5372082.10,"NAD83","OK","Natalya Antonova"
715,2.00,"WTU","NOCA-00832","NOCA 32191","2006 North Cascades National Park Foray","Asteraceae","Luina hypoleuca","Luina","hypoleuca","Benth.",,,,,,,"Ben Legler",25.00,"Oct",2006.00,"FNA vol. 20",,"Myria Rodeman","06-",14.00,,,29.00,"Jul",2006.00,"USA","Washington","Chelan","North Cascades National Park.  Lake on southeast side of Stiletto Peak, 1 mile north of Dagger Lake.",6400.00,,1951.00,,48.00,28.67,,120.00,39.35,,"WGS 84",7.00,"GPS reading",10.00,673230.94,5372082.10,"WGS 84",7.00,"Calc. from Lat-Lon","Moist rocky meadow with perennial stream, with Phyllodoce, Cassiope, Castilleja elmeri, Castilleja parviflora, Carex, Mimulus lewisii.","Heads creamy colored; stems in large clumps over rock.","Native","Flowering",,"{B3D72E82-4B83-48FF-8B72-A872E8A20EC2}",673230.94,5372082.10,"NAD83","OK","Natalya Antonova"
716,3.00,"UBC","NOCA-00832","NOCA 32192","2006 North Cascades National Park Foray","Asteraceae","Luina hypoleuca","Luina","hypoleuca","Benth.",,,,,,,"Ben Legler",25.00,"Oct",2006.00,"FNA vol. 20",,"Myria Rodeman","06-",14.00,,,29.00,"Jul",2006.00,"USA","Washington","Chelan","North Cascades National Park.  Lake on southeast side of Stiletto Peak, 1 mile north of Dagger Lake.",6400.00,,1951.00,,48.00,28.67,,120.00,39.35,,"WGS 84",7.00,"GPS reading",10.00,673230.94,5372082.10,"WGS 84",7.00,"Calc. from Lat-Lon","Moist rocky meadow with perennial stream, with Phyllodoce, Cassiope, Castilleja elmeri, Castilleja parviflora, Carex, Mimulus lewisii.","Heads creamy colored; stems in large clumps over rock.","Native","Flowering",,"{B3D72E82-4B83-48FF-8B72-A872E8A20EC2}",673230.94,5372082.10,"NAD83","OK","Natalya Antonova"
717,1.00,"NOCA","NOCA-00832","NOCA 31549","2006 North Cascades National Park Foray","Fabaceae","Lupinus bingenensis var. subsaccatus","Lupinus","bingenensis","Suksdorf","var.","subsaccatus","Suksdorf",,,,"Ben Legler",5.00,"Oct",2006.00,"Ill. Fl. of B.C.",,"Anders Huseth","06-",31.00,,"Diane Doss, Cheryl Lowe, David Giblin",28.00,"Jun",2006.00,"USA","Washington","Chelan","North Cascades National Park. Southeast side of McGregor Mountain. West side of Coon Creek along the McGregor Mountain Trail. Stehekin Valley.",2964.00,,904.00,,48.00,23.71,,120.00,49.78,,"WGS 84",,"GPS Reading",10.00,660644.58,5362511.31,"WGS 84",,"Calc. from Lat-Lon","Aspect: 200 degrees. Slope: 5 - 25 degrees. Dry rocky outcrops intermixed with coniferous forest, dominated by Pseudotsuga menziesii and Pinus ponderosa. Dominant grasses Pseudoroegneria spicata and Calamagrostis rubescens. Exposed site with partial to full sun.","Locally uncommon. Open dry soil. Flowers blue. Calyx not spurred; banner glabrus on back; keel margin ciliate.","Native","Flowering & Fruiting",,"{013AD498-D7D8-472D-AC89-91B3BC24E464}",660644.58,5362511.31,"NAD83","OK","Natalya Antonova"
718,2.00,"Stehekin","NOCA-00832","NOCA 31550","2006 North Cascades National Park Foray","Fabaceae","Lupinus bingenensis var. subsaccatus","Lupinus","bingenensis","Suksdorf","var.","subsaccatus","Suksdorf",,,,"Ben Legler",5.00,"Oct",2006.00,"Ill. Fl. of B.C.",,"Anders Huseth","06-",31.00,,"Diane Doss, Cheryl Lowe, David Giblin",28.00,"Jun",2006.00,"USA","Washington","Chelan","North Cascades National Park. Southeast side of McGregor Mountain. West side of Coon Creek along the McGregor Mountain Trail. Stehekin Valley.",2964.00,,904.00,,48.00,23.71,,120.00,49.78,,"WGS 84",,"GPS Reading",10.00,660644.58,5362511.31,"WGS 84",,"Calc. from Lat-Lon","Aspect: 200 degrees. Slope: 5 - 25 degrees. Dry rocky outcrops intermixed with coniferous forest, dominated by Pseudotsuga menziesii and Pinus ponderosa. Dominant grasses Pseudoroegneria spicata and Calamagrostis rubescens. Exposed site with partial to full sun.","Locally uncommon. Open dry soil. Flowers blue. Calyx not spurred; banner glabrus on back; keel margin ciliate.","Native","Flowering & Fruiting",,"{013AD498-D7D8-472D-AC89-91B3BC24E464}",660644.58,5362511.31,"NAD83","OK","Natalya Antonova"
719,1.00,"NOCA","NOCA-00832","NOCA 31263","2006 North Cascades National Park Foray","Fabaceae","Lupinus wyethii","Lupinus","wyethii","Wats.",,,,,,,"Ben Legler",5.00,"Oct",2006.00,"Flora of PNW",,"Tricia Downey",,20.00,,,28.00,"Jun",2006.00,"USA","Washington","Chelan","Lake Chelan National Recreation Area. Along Purple Creek Pass Trail circa 200 meters southwest of where trail crosses Purple Creek. Circa 1.5 trail miles east of Stehekin.",2600.00,,793.00,,48.00,18.00,37.00,120.00,38.00,13.00,"WGS 84",12.00,"GPS Reading",10.00,675203.00,5353497.00,"WGS 84",12.00,"GPS Reading","Dry northwest facing slope, open conifer forest, brushy and herbaceous understory. With Pseudotsuga, Acer macrophyllum, Acer glabrum, Rubus parviflorus.","Flowers light to medium blue. Scattered. Stems in clumps.","Native","Flowering & Fruiting",,"{BD63B1FC-CFA3-4EE9-9FA8-C857AE6BFEE2}",675202.99,5353496.99,"NAD83","OK","Natalya Antonova"
720,2.00,"Stehekin","NOCA-00832","NOCA 31264","2006 North Cascades National Park Foray","Fabaceae","Lupinus wyethii","Lupinus","wyethii","Wats.",,,,,,,"Ben Legler",5.00,"Oct",2006.00,"Flora of PNW",,"Tricia Downey",,20.00,,,28.00,"Jun",2006.00,"USA","Washington","Chelan","Lake Chelan National Recreation Area. Along Purple Creek Pass Trail circa 200 meters southwest of where trail crosses Purple Creek. Circa 1.5 trail miles east of Stehekin.",2600.00,,793.00,,48.00,18.00,37.00,120.00,38.00,13.00,"WGS 84",12.00,"GPS Reading",10.00,675203.00,5353497.00,"WGS 84",12.00,"GPS Reading","Dry northwest facing slope, open conifer forest, brushy and herbaceous understory. With Pseudotsuga, Acer macrophyllum, Acer glabrum, Rubus parviflorus.","Flowers light to medium blue. Scattered. Stems in clumps.","Native","Flowering & Fruiting",,"{BD63B1FC-CFA3-4EE9-9FA8-C857AE6BFEE2}",675202.99,5353496.99,"NAD83","OK","Natalya Antonova"
721,3.00,"WTU","NOCA-00832","NOCA 31265","2006 North Cascades National Park Foray","Fabaceae","Lupinus wyethii","Lupinus","wyethii","Wats.",,,,,,,"Ben Legler",5.00,"Oct",2006.00,"Flora of PNW",,"Tricia Downey",,20.00,,,28.00,"Jun",2006.00,"USA","Washington","Chelan","Lake Chelan National Recreation Area. Along Purple Creek Pass Trail circa 200 meters southwest of where trail crosses Purple Creek. Circa 1.5 trail miles east of Stehekin.",2600.00,,793.00,,48.00,18.00,37.00,120.00,38.00,13.00,"WGS 84",12.00,"GPS Reading",10.00,675203.00,5353497.00,"WGS 84",12.00,"GPS Reading","Dry northwest facing slope, open conifer forest, brushy and herbaceous understory. With Pseudotsuga, Acer macrophyllum, Acer glabrum, Rubus parviflorus.","Flowers light to medium blue. Scattered. Stems in clumps.","Native","Flowering & Fruiting",,"{BD63B1FC-CFA3-4EE9-9FA8-C857AE6BFEE2}",675202.99,5353496.99,"NAD83","OK","Natalya Antonova"
722,1.00,"NOCA","NOCA-00832","NOCA 32153","2006 North Cascades National Park Foray","Fabaceae","Lupinus wyethii","Lupinus","wyethii","Wats.",,,,,,,"Ben Legler",25.00,"Oct",2006.00,"Flora of PNW",,"Myria Rodeman","06-",1.00,,,29.00,"Jul",2006.00,"USA","Washington","Chelan","North Cascades National Park.  Lake on southeast side of Stiletto Peak, 1 mile north of Dagger Lake.",6400.00,,1951.00,,48.00,28.67,,120.00,39.35,,"WGS 84",7.00,"GPS reading",10.00,673230.94,5372082.10,"WGS 84",7.00,"Calc. from Lat-Lon","Moist rocky meadow with perennial stream, with Phyllodoce, Cassiope, Castilleja elmeri, Castilleja parviflora, Carex, Mimulus lewisii.","Flowers blue-purple; uncommon on stream bank.","Native","Flowering",,"{B3D72E82-4B83-48FF-8B72-A872E8A20EC2}",673230.94,5372082.10,"NAD83","OK","Natalya Antonova"
723,2.00,"WTU","NOCA-00832","NOCA 32154","2006 North Cascades National Park Foray","Fabaceae","Lupinus wyethii","Lupinus","wyethii","Wats.",,,,,,,"Ben Legler",25.00,"Oct",2006.00,"Flora of PNW",,"Myria Rodeman","06-",1.00,,,29.00,"Jul",2006.00,"USA","Washington","Chelan","North Cascades National Park.  Lake on southeast side of Stiletto Peak, 1 mile north of Dagger Lake.",6400.00,,1951.00,,48.00,28.67,,120.00,39.35,,"WGS 84",7.00,"GPS reading",10.00,673230.94,5372082.10,"WGS 84",7.00,"Calc. from Lat-Lon","Moist rocky meadow with perennial stream, with Phyllodoce, Cassiope, Castilleja elmeri, Castilleja parviflora, Carex, Mimulus lewisii.","Flowers blue-purple; uncommon on stream bank.","Native","Flowering",,"{B3D72E82-4B83-48FF-8B72-A872E8A20EC2}",673230.94,5372082.10,"NAD83","OK","Natalya Antonova"
724,3.00,"UBC","NOCA-00832","NOCA 32155","2006 North Cascades National Park Foray","Fabaceae","Lupinus wyethii","Lupinus","wyethii","Wats.",,,,,,,"Ben Legler",25.00,"Oct",2006.00,"Flora of PNW",,"Myria Rodeman","06-",1.00,,,29.00,"Jul",2006.00,"USA","Washington","Chelan","North Cascades National Park.  Lake on southeast side of Stiletto Peak, 1 mile north of Dagger Lake.",6400.00,,1951.00,,48.00,28.67,,120.00,39.35,,"WGS 84",7.00,"GPS reading",10.00,673230.94,5372082.10,"WGS 84",7.00,"Calc. from Lat-Lon","Moist rocky meadow with perennial stream, with Phyllodoce, Cassiope, Castilleja elmeri, Castilleja parviflora, Carex, Mimulus lewisii.","Flowers blue-purple; uncommon on stream bank.","Native","Flowering",,"{B3D72E82-4B83-48FF-8B72-A872E8A20EC2}",673230.94,5372082.10,"NAD83","OK","Natalya Antonova"
725,1.00,"NOCA","NOCA-00832","NOCA 32239","2006 North Cascades National Park Foray","Juncaceae","Luzula hitchcockii","Luzula","hitchcockii","Hamet-Ahti",,,,,,,"Ben Legler",25.00,"Oct",2006.00,"FNA vol. 22",,"Myria Rodeman","06-",31.00,,,29.00,"Jul",2006.00,"USA","Washington","Chelan","North Cascades National Park.  Lake on southeast side of Stiletto Peak, 1 mile north of Dagger Lake.",6400.00,,1951.00,,48.00,28.67,,120.00,39.35,,"WGS 84",7.00,"GPS reading",10.00,673230.94,5372082.10,"WGS 84",7.00,"Calc. from Lat-Lon","Moist rocky meadow with perennial stream, with Phyllodoce, Cassiope, Castilleja elmeri, Castilleja parviflora, Carex, Mimulus lewisii.","Rhizomatous; branches spreading in all directions, stiff; common under trees.","Native","Flowering & Fruiting",,"{B3D72E82-4B83-48FF-8B72-A872E8A20EC2}",673230.94,5372082.10,"NAD83","OK","Natalya Antonova"
726,2.00,"WTU","NOCA-00832","NOCA 32240","2006 North Cascades National Park Foray","Juncaceae","Luzula hitchcockii","Luzula","hitchcockii","Hamet-Ahti",,,,,,,"Ben Legler",25.00,"Oct",2006.00,"FNA vol. 22",,"Myria Rodeman","06-",31.00,,,29.00,"Jul",2006.00,"USA","Washington","Chelan","North Cascades National Park.  Lake on southeast side of Stiletto Peak, 1 mile north of Dagger Lake.",6400.00,,1951.00,,48.00,28.67,,120.00,39.35,,"WGS 84",7.00,"GPS reading",10.00,673230.94,5372082.10,"WGS 84",7.00,"Calc. from Lat-Lon","Moist rocky meadow with perennial stream, with Phyllodoce, Cassiope, Castilleja elmeri, Castilleja parviflora, Carex, Mimulus lewisii.","Rhizomatous; branches spreading in all directions, stiff; common under trees.","Native","Flowering & Fruiting",,"{B3D72E82-4B83-48FF-8B72-A872E8A20EC2}",673230.94,5372082.10,"NAD83","OK","Natalya Antonova"
727,3.00,"UBC","NOCA-00832","NOCA 32241","2006 North Cascades National Park Foray","Juncaceae","Luzula hitchcockii","Luzula","hitchcockii","Hamet-Ahti",,,,,,,"Ben Legler",25.00,"Oct",2006.00,"FNA vol. 22",,"Myria Rodeman","06-",31.00,,,29.00,"Jul",2006.00,"USA","Washington","Chelan","North Cascades National Park.  Lake on southeast side of Stiletto Peak, 1 mile north of Dagger Lake.",6400.00,,1951.00,,48.00,28.67,,120.00,39.35,,"WGS 84",7.00,"GPS reading",10.00,673230.94,5372082.10,"WGS 84",7.00,"Calc. from Lat-Lon","Moist rocky meadow with perennial stream, with Phyllodoce, Cassiope, Castilleja elmeri, Castilleja parviflora, Carex, Mimulus lewisii.","Rhizomatous; branches spreading in all directions, stiff; common under trees.","Native","Flowering & Fruiting",,"{B3D72E82-4B83-48FF-8B72-A872E8A20EC2}",673230.94,5372082.10,"NAD83","OK","Natalya Antonova"
