Herbarium	Accession Number	Family	Genus	Species	Species Author	Subtype	Subtaxon	Subtaxon Author	ID Doubted	Scientific Name	Accepted Name (Taxon Name)	Determiner	Determination Day	Determination Month	Determination Year	Collector	Collector Number Prefix	Collector Number	Collector Number Suffix	Full Collector Number	Associated Collectors	Collection Day	Collection Month	Collection Year	Site Code	Country	State	County	Locality	Elevation (Feet)	Elevation (Meters)	Latitude Degrees	Latitude Minutes	Latitude Seconds	North or South	Longitude Degrees	Longitude Minutes	Longitude Seconds	West or East	Site Description	Specimen Description	Origin	Phenology
WTU	357744	Chenopodiaceae	Sarcocornia	perennis	(P. Mill.) A.J. Scott					Sarcocornia perennis	Sarcocornia perennis	Ben Legler	13	Oct	2004	Jeff Walker		257		257		10	Sep	2004	Jeff Walker_2004-Sep-10__B	USA	Washington	Island	"Whidbey Island, Ebey?s Landing Nature Conservancy Preserve; south end of Perego?s Lagoon."	5	2	48	11	50	N	122	43	30	W		"Abundant; growing with Distichlis spicata, Achillea millefolium, Grindelia integrifolia."	Native	Flowering
WTU	356489	Convolvulaceae	Cuscuta	salina	Engelm.					Cuscuta salina	Cuscuta salina	Ben Legler	29	Jun	2004	Ben Legler		1680		1680		4	Jun	2004	Ben Legler_2004-Jun-4__A	USA	Washington	Island	"Whidbey Island, The Nature Conservancy?s Ebey?s Landing Preserve; on the south end of Perego?s Lagoon."	5	2	48	11	52.1	N	122	43	36.6	W	"Salt marsh dominated by Salicornia virginica and Distichlys spicata, at base of steep SW-facing sandy bluff."	Stems bright orange; parasitic on Salicornia.	Native	Flowering
WTU	357741	Convolvulaceae	Cuscuta	salina	Engelm.					Cuscuta salina	Cuscuta salina	Ben Legler	7	Oct	2004	Jeff Walker		258		258		10	Sep	2004	Jeff Walker_2004-Sep-10__B	USA	Washington	Island	"Whidbey Island, Ebey?s Landing Nature Conservancy Preserve; south end of Perego?s Lagoon."	5	2	48	11	50	N	122	43	30	W		Growing on Salicornia virginica.	Native	Flowering & Fruiting
WTU	356091	Cupressaceae	Thuja	plicata	Donn.					Thuja plicata	Thuja plicata	Ben Legler	28	Jun	2004	Peter W. Dunwiddie	PWD 	111		PWD 111	"Jeff Walker, Sharon Rodman, Susan Zwinger"	4	Jun	2004	Peter W. Dunwiddie_2004-Jun-4__E	USA	Washington	Island	"Whidbey Island, Ebey?s Landing.  3km north of main parking lot along main trail.  Collecting below trail and in nearby Pseudotsuga forest."	197	60	48	11	.882	N	122	43	.369	W	"Dry conifer woods; Pseudotsuga menziesii, Tsuga heterophylla, Gaultheria shallon, Rhododendron macrophyllum."	Scattered tree.	Native	Fruiting
WTU	357742	Cyperaceae	Carex	hendersonii	Bailey					Carex hendersonii	Carex hendersonii	Ben Legler	7	Oct	2004	Jeff Walker		280		280		10	Sep	2004	Jeff Walker_2004-Sep-10__E	USA	Washington	Island	"Whidbey Island, Ebey?s Landing Nature Conservancy Preserve; adjacent to bluff trail along top of bluff."	190	58	48	11	17	N	122	42	57	W		In shady forest near trail; cespitose; fertile stems lax.	Native	Fruiting
WTU	356619	Cyperaceae	Carex	leptopoda	Mackenzie					Carex leptopoda	Carex leptopoda	Ben Legler	14	Jul	2004	Peter W. Dunwiddie	PWD 	96		PWD 96	"Jeff Walker, Sharon Rodman, Susan Zwinger"	4	Jun	2004	Peter W. Dunwiddie_2004-Jun-4__C	USA	Washington	Island	"Whidbey Island, Ebey?s Landing, forest edge near sheep barn."			48	11	.82	N	122	43	.183	W	"Douglas Fir overstory, Red Elderberry, Snowberry, Ocean Spray understory."	Uncommon.	Native	Fertile
WTU	356622	Cyperaceae	Carex	lyngbyei	Hornem.					Carex lyngbyei	Carex lyngbyei	Ben Legler	14	Jul	2004	Ben Legler		1694		1694		4	Jun	2004	Ben Legler_2004-Jun-4__E	USA	Washington	Island	"Whidbey Island, Ebey?s Landing Preserve; north end and NE shore of Perego?s Lagoon; National Park Service property."	10	3	48	12	11	N	122	44	10	W	Gravelly shore of lagoon and saltmarsh below SW-facing sandy bluff.	Spikes drooping; stems mostly single; in moist soil in marsh.	Native	Fertile
WTU	355875	Cyperaceae	Carex	macrocephala	Willd.					Carex macrocephala	Carex macrocephala	Ben Legler	27	May	2004	Ben Legler		1574		1574	"David Giblin, Barbara Williams, Molly Bernstein"	7	May	2004	Ben Legler_2004-May-7__A	USA	Washington	Island	"Whidbey Island, Ebey?s Landing Preserve, The Nature Conservancy; around southwest side of Perego?s Lagoon."	5	2	48	11	52.1	N	122	43	36.6	W	"Salt marsh, with Salicornia, Lathyrus japonicus, grasses."	Fairly common in open sand along lagoon.	Native	Fertile
WTU	357727	Cyperaceae	Carex	pensylvanica	Lam.	var.	vespertina	L.H. Bailey		Carex pensylvanica var. vespertina	Carex inops ssp. inops	Ben Legler	25	Oct	2004	Ben Legler		1583		1583		7	May	2004	Ben Legler_2004-May-7__B	USA	Washington	Island	"Whidbey Island, The Nature Conservancy?s Ebey?s Landing Preserve; along top of bluff above Perego?s Lagoon at about midway point of lagoon."	200	61	48	12	7.6	N	122	43	54.1	W	Open grassy bluff and Pseudotsuga woods.	Rhizomatous; on grassy bluff.	Native	Fruiting
WTU	357732	Cyperaceae	Carex	pensylvanica	Lam.	var.	vespertina	L.H. Bailey		Carex pensylvanica var. vespertina	Carex inops ssp. inops	Ben Legler	26	Oct	2004	Peter W. Dunwiddie	PWD 	34		PWD 34		30	Apr	2004	Peter W. Dunwiddie_2004-Apr-30__C	USA	Washington	Island	"Whidbey Island, Ebey?s Landing National Historic Preserve Bluff Trail.  2 KM north from main parking lot.  Along Trail and nearby woods at top of bluff."			48	11.82		N	122	43.183		W	"Sandy, west-facing, exposed bluff dominated by grasses, Achillea, Vicia; wind-swept Pseudotsuga forest with Ribes, Berberis."	Along forest edge.	Native	Fruiting
WTU	356617	Cyperaceae	Carex	tumulicola	Mack.					Carex tumulicola	Carex tumulicola	P. F. Zika	7	Jul	2004	Ben Legler		1683		1683		4	Jun	2004	Ben Legler_2004-Jun-4__A	USA	Washington	Island	"Whidbey Island, The Nature Conservancy?s Ebey?s Landing Preserve; on the south end of Perego?s Lagoon."	5	2	48	11	52.1	N	122	43	36.6	W	"Salt marsh dominated by Salicornia virginica and Distichlys spicata, at base of steep SW-facing sandy bluff."	Large patch of plants in moist soil bordering marsh.	Native	Fertile
WTU	357725	Cyperaceae	Carex	tumulicola	Mack.					Carex tumulicola	Carex tumulicola	Ben Legler	25	Oct	2004	Ben Legler		1581		1581		7	May	2004	Ben Legler_2004-May-7__B	USA	Washington	Island	"Whidbey Island, The Nature Conservancy?s Ebey?s Landing Preserve; along top of bluff above Perego?s Lagoon at about midway point of lagoon."	200	61	48	12	7.6	N	122	43	54.1	W	Open grassy bluff and Pseudotsuga woods.	Rhizomatous; scattered among shrubs.	Native	Flowering & Fruiting
WTU	356257	Cyperaceae	Scirpus	americanus	Pers.					Scirpus americanus	Schoenoplectus americanus	Ben Legler	14	Jul	2004	Ben Legler		1696		1696		4	Jun	2004	Ben Legler_2004-Jun-4__E	USA	Washington	Island	"Whidbey Island, Ebey?s Landing Preserve; north end and NE shore of Perego?s Lagoon; National Park Service property."	10	3	48	12	11	N	122	44	10	W	Gravelly shore of lagoon and saltmarsh below SW-facing sandy bluff.	Uncommon; in mud and shallow water at edge of lagoon.	Native	Fertile
WTU	357114	Cyperaceae	Scirpus	americanus	Pers.					Scirpus americanus	Schoenoplectus americanus	Ben Legler	7	Oct	2004	Jeff Walker		270		270		10	Sep	2004	Jeff Walker_2004-Sep-10__D	USA	Washington	Island	"Whidbey Island, Ebey?s Landing Nature Conservancy Preserve; east side of Perego?s Lagoon."	5	2	48	12	6	N	122	43	53	W		Frequent; scattered in cobble on edge of lagoon.	Native	Fruiting
WTU	357119	Dennstaedtiaceae	Pteridium	aquilinum	(L.) Kuhn.	var.	pubescens	Underw.		Pteridium aquilinum var. pubescens	Pteridium aquilinum var. pubescens	Ben Legler	7	Oct	2004	Don Knoke		732		732		10	Sep	2004	Don Knoke_2004-Sep-10__D	USA	Washington	Island	"Whidbey Island; roadside along Hill Road near Ebey?s Landing parking lot, higher wooded area."	20	6	48	11.5		N	122	42.4		W	"Other plants: Pseudotsuga menziesii, Lonicera hispidula, Symphoricarpos alba, Holodiscus discolor."	Common; gravelly soil.	Native	Sterile
WTU	356496	Dennstaedtiaceae	Pteridium	aquilinum	(L.) Kuhn.	var.	pubescens	Underw.		Pteridium aquilinum var. pubescens	Pteridium aquilinum var. pubescens	Ben Legler	20	May	2004	Peter W. Dunwiddie	PWD 	31		PWD 31		30	Apr	2004	Peter W. Dunwiddie_2004-Apr-30__C	USA	Washington	Island	"Whidbey Island, Ebey?s Landing National Historic Preserve Bluff Trail.  2 KM north from main parking lot.  Along Trail and nearby woods at top of bluff."			48	11.82		N	122	43.183		W	"Sandy, west-facing, exposed bluff dominated by grasses, Achillea, Vicia; wind-swept Pseudotsuga forest with Ribes, Berberis."	In open areas along trail and near forest edge.	Native	Sterile
WTU		Dryopteridaceae	Dryopteris	expansa	(C. Presl) Fraser-Jenkins & Jermy					Dryopteris expansa	Dryopteris expansa	Ben Legler	20	May	2004	Peter W. Dunwiddie	PWD 	78		PWD 78		30	Apr	2004	Peter W. Dunwiddie_2004-Apr-30__E	USA	Washington	Island	"Whidbey Island, Ebey?s Landing; Hill Road c. 1 km South of main parking lot, just below summit of road.  Bluff to west of road."	171	52	48	11	.258	N	122	42	.113	W	"Steep bluff dominated by native and exotic grasses with Lupinus, Eriophyllum, and Achillea; backed by conifer woods."	In woods behind bluff. SHEET 1 of 2.	Native	Fruiting
WTU		Dryopteridaceae	Dryopteris	expansa	(C. Presl) Fraser-Jenkins & Jermy					Dryopteris expansa	Dryopteris expansa	Ben Legler	20	May	2004	Peter W. Dunwiddie	PWD 	78		PWD 78		30	Apr	2004	Peter W. Dunwiddie_2004-Apr-30__E	USA	Washington	Island	"Whidbey Island, Ebey?s Landing; Hill Road c. 1 km South of main parking lot, just below summit of road.  Bluff to west of road."	171	52	48	11	.258	N	122	42	.113	W	"Steep bluff dominated by native and exotic grasses with Lupinus, Eriophyllum, and Achillea; backed by conifer woods."	In woods behind bluff. SHEET 2 of 2.	Native	Fruiting
WTU	355516	Dryopteridaceae	Polystichum	munitum	(Kaulf.) Presl					Polystichum munitum	Polystichum munitum	Ben Legler	20	May	2004	Peter W. Dunwiddie	PWD 	65		PWD 65		30	Apr	2004	Peter W. Dunwiddie_2004-Apr-30__E	USA	Washington	Island	"Whidbey Island, Ebey?s Landing; Hill Road c. 1 km South of main parking lot, just below summit of road.  Bluff to west of road."	171	52	48	11	.258	N	122	42	.113	W	"Steep bluff dominated by native and exotic grasses with Lupinus, Eriophyllum, and Achillea; backed by conifer woods."	In woods behind bluff.	Native	Fruiting
WTU	355883	Equisetaceae	Equisetum	hyemale	L.					Equisetum hyemale	Equisetum hyemale	Ben Legler	20	May	2004	Ben Legler		1587		1587	"David Giblin, Barbara Williams, Molly Bernstein"	7	May	2004	Ben Legler_2004-May-7__B	USA	Washington	Island	"Whidbey Island, The Nature Conservancy?s Ebey?s Landing Preserve; along top of bluff above Perego?s Lagoon at about midway point of lagoon."	200	61	48	12	7.6	N	122	43	54.1	W	Open grassy bluff and Pseudotsuga woods.	Scattered on dry slope of bluff.	Native	Fertile
WTU	355382	Equisetaceae	Equisetum	telmateia	Ehrh.					Equisetum telmateia	Equisetum telmateia	Ben Legler	20	May	2004	Ben Legler		1493		1493		30	Apr	2004	Ben Legler_2004-Apr-30__A	USA	Washington	Island	"Whidbey Island, Ebey?s Landing; at parking area on beach on Hill Road; TNC and State Park land."	7	2	48	11.56		N	122	42.44		W	Open beach along road; disturbed; Leymus mollis.	Large patch in moist soil by parking lot.	Native	Fruiting
WTU	357080	Ericaceae	Arbutus	menziesii	Pursh					Arbutus menziesii	Arbutus menziesii	Ben Legler	7	Oct	2004	Jeff Walker		278		278		10	Sep	2004	Jeff Walker_2004-Sep-10__E	USA	Washington	Island	"Whidbey Island, Ebey?s Landing Nature Conservancy Preserve; adjacent to bluff trail along top of bluff."	190	58	48	11	17	N	122	42	57	W		4 meters tall.	Native	Sterile
WTU	355391	Ericaceae	Gaultheria	shallon	Pursh					Gaultheria shallon	Gaultheria shallon	Ben Legler	20	May	2004	Peter W. Dunwiddie	PWD 	62		PWD 62		30	Apr	2004	Peter W. Dunwiddie_2004-Apr-30__E	USA	Washington	Island	"Whidbey Island, Ebey?s Landing; Hill Road c. 1 km South of main parking lot, just below summit of road.  Bluff to west of road."	171	52	48	11	.258	N	122	42	.113	W	"Steep bluff dominated by native and exotic grasses with Lupinus, Eriophyllum, and Achillea; backed by conifer woods."		Native	Flowering
WTU	356220	Ericaceae	Rhododendron	macrophyllum	G. Don					Rhododendron macrophyllum	Rhododendron macrophyllum	Ben Legler	28	Jun	2004	Peter W. Dunwiddie	PWD 	110		PWD 110	"Jeff Walker, Sharon Rodman, Susan Zwinger"	4	Jun	2004	Peter W. Dunwiddie_2004-Jun-4__E	USA	Washington	Island	"Whidbey Island, Ebey?s Landing.  3km north of main parking lot along main trail.  Collecting below trail and in nearby Pseudotsuga forest."	197	60	48	11	.882	N	122	43	.369	W	"Dry conifer woods; Pseudotsuga menziesii, Tsuga heterophylla, Gaultheria shallon, Rhododendron macrophyllum."	Dominant understory; 1-4 m; flowers pink-purple.	Native	Flowering
WTU	356094	Ericaceae	Vaccinium	ovatum	Pursh					Vaccinium ovatum	Vaccinium ovatum	Ben Legler	28	Jun	2004	Peter W. Dunwiddie	PWD 	117		PWD 117	"Jeff Walker, Sharon Rodman, Susan Zwinger"	4	Jun	2004	Peter W. Dunwiddie_2004-Jun-4__E	USA	Washington	Island	"Whidbey Island, Ebey?s Landing.  3km north of main parking lot along main trail.  Collecting below trail and in nearby Pseudotsuga forest."	197	60	48	11	.882	N	122	43	.369	W	"Dry conifer woods; Pseudotsuga menziesii, Tsuga heterophylla, Gaultheria shallon, Rhododendron macrophyllum."	"Rare, 4-5 plants in one area; evergreen, 1-3 m tall."	Native	
WTU	355528	Ericaceae	Vaccinium	parvifolium	Smith					Vaccinium parvifolium	Vaccinium parvifolium	Ben Legler	20	May	2004	Peter W. Dunwiddie	PWD 	79		PWD 79		30	Apr	2004	Peter W. Dunwiddie_2004-Apr-30__E	USA	Washington	Island	"Whidbey Island, Ebey?s Landing; Hill Road c. 1 km South of main parking lot, just below summit of road.  Bluff to west of road."	171	52	48	11	.258	N	122	42	.113	W	"Steep bluff dominated by native and exotic grasses with Lupinus, Eriophyllum, and Achillea; backed by conifer woods."	In woods back from bluff.	Native	Fertile
WTU	355871	Fabaceae	Cytisus	scoparius	(L.) Link					Cytisus scoparius	Cytisus scoparius	Ben Legler	20	May	2004	Ben Legler		1591		1591	"David Giblin, Barbara Williams, Molly Bernstein"	7	May	2004	Ben Legler_2004-May-7__B	USA	Washington	Island	"Whidbey Island, The Nature Conservancy?s Ebey?s Landing Preserve; along top of bluff above Perego?s Lagoon at about midway point of lagoon."	200	61	48	12	7.6	N	122	43	54.1	W	Open grassy bluff and Pseudotsuga woods.	Flowers yellow; single shrub on bluff slope.	Introduced	Flowering & Fruiting
WTU	355893	Fabaceae	Lathyrus	japonicus	Willd.					Lathyrus japonicus	Lathyrus japonicus	Ben Legler	20	May	2004	Ben Legler		1566		1566	"David Giblin, Barbara Williams, Molly Bernstein"	7	May	2004	Ben Legler_2004-May-7__A	USA	Washington	Island	"Whidbey Island, Ebey?s Landing Preserve, The Nature Conservancy; around southwest side of Perego?s Lagoon."	5	2	48	11	52.1	N	122	43	36.6	W	"Salt marsh, with Salicornia, Lathyrus japonicus, grasses."	Flowers dark purple; common.	Native	Flowering & Fruiting
WTU	355890	Fabaceae	Lupinus	bicolor	Lindl.					Lupinus bicolor	Lupinus bicolor	Ben Legler	20	May	2004	Ben Legler		1580		1580	"David Giblin, Barbara Williams, Molly Bernstein"	7	May	2004	Ben Legler_2004-May-7__B	USA	Washington	Island	"Whidbey Island, The Nature Conservancy?s Ebey?s Landing Preserve; along top of bluff above Perego?s Lagoon at about midway point of lagoon."	200	61	48	12	7.6	N	122	43	54.1	W	Open grassy bluff and Pseudotsuga woods.	"Flowers deep blue with whitish banner, 7-8 mm long; abundant on open bluff."	Native	Flowering & Fruiting
WTU	355379	Fabaceae	Lupinus	bicolor	Lindl.					Lupinus bicolor	Lupinus bicolor	Ben Legler	20	May	2004	Peter W. Dunwiddie	PWD 	53		PWD 53		30	Apr	2004	Peter W. Dunwiddie_2004-Apr-30__D	USA	Washington	Island	"Whidbey Island, Ebey?s Landing.  3 km north of main parking lot along main trail.  "	197	60	48	11.882		N	122	43.369		W	Collecting below trail and in nearby Pseudotsuga forest.	Flowers blue and white; low growing; patchy in distribution.	Native	Flowering
WTU	355642	Fabaceae	Lupinus	rivularis	Dougl.					Lupinus rivularis	Lupinus rivularis	Ben Legler	20	May	2004	Ben Legler		1511		1511		30	Apr	2004	Ben Legler_2004-Apr-30__C	USA	Washington	Island	"Whidbey Island, Ebey?s Landing, at border between state park and the Nature Conservancy property circa 1/8 mile south of Perego?s Lagoon."	13	4	48	11.83		N	122	43.30		W	Eroding base of bluff adjacent to high tide line; dominated by grasses.	Wings blue-purple; banner very pale lilac to white; large clump of stems on eroding slope.	Native	Flowering
WTU	357102	Fabaceae	Medicago	lupulina	L.					Medicago lupulina	Medicago lupulina	Ben Legler	7	Oct	2004	Don Knoke		724		724		10	Sep	2004	Don Knoke_2004-Sep-10__B	USA	Washington	Island	Whidbey Island; roadside along Hill Road near Ebey?s Landing parking lot.	20	6	48	11.5		N	122	42.4		W	"Other plants: Sambucus racemosa, Heracleum lanatum, Symphoricarpos alba, Holodiscus discolor."	Flowers yellow; uncommon; gravelly soil.	Introduced	Flowering & Fruiting
WTU	357082	Fabaceae	Medicago	sativa	L.					Medicago sativa	Medicago sativa	Ben Legler	7	Oct	2004	Jeff Walker		275		275		10	Sep	2004	Jeff Walker_2004-Sep-10__E	USA	Washington	Island	"Whidbey Island, Ebey?s Landing Nature Conservancy Preserve; adjacent to bluff trail along top of bluff."	190	58	48	11	17	N	122	42	57	W		Flowers range in color from white to yellow to blue to purple; along edge of field where planted.	Introduced	Flowering & Fruiting
WTU	357103	Fabaceae	Trifolium	arvense	L.					Trifolium arvense	Trifolium arvense	Ben Legler	7	Oct	2004	Don Knoke		723		723		10	Sep	2004	Don Knoke_2004-Sep-10__B	USA	Washington	Island	Whidbey Island; roadside along Hill Road near Ebey?s Landing parking lot.	20	6	48	11.5		N	122	42.4		W	"Other plants: Sambucus racemosa, Heracleum lanatum, Symphoricarpos alba, Holodiscus discolor."	Flowers pale dusty-pink; uncommon; gravelly soil.	Introduced	Flowering
WTU	355384	Fabaceae	Trifolium	dubium	Sibth.					Trifolium dubium	Trifolium dubium	Ben Legler	20	May	2004	Ben Legler		1490		1490		30	Apr	2004	Ben Legler_2004-Apr-30__A	USA	Washington	Island	"Whidbey Island, Ebey?s Landing; at parking area on beach on Hill Road; TNC and State Park land."	7	2	48	11.56		N	122	42.44		W	Open beach along road; disturbed; Leymus mollis.	Flowers yellow; prostrate in dry sand; full sun.	Introduced	Flowering
WTU	355375	Fabaceae	Trifolium	dubium	Sibth.					Trifolium dubium	Trifolium dubium	Ben Legler	20	May	2004	Peter W. Dunwiddie	PWD 	57		PWD 57		30	Apr	2004	Peter W. Dunwiddie_2004-Apr-30__D	USA	Washington	Island	"Whidbey Island, Ebey?s Landing.  3 km north of main parking lot along main trail.  "	197	60	48	11.882		N	122	43.369		W	Collecting below trail and in nearby Pseudotsuga forest.		Introduced	Flowering
WTU	357101	Fabaceae	Trifolium	hybridum	L.					Trifolium hybridum	Trifolium hybridum	Ben Legler	7	Oct	2004	Don Knoke		725		725		10	Sep	2004	Don Knoke_2004-Sep-10__B	USA	Washington	Island	Whidbey Island; roadside along Hill Road near Ebey?s Landing parking lot.	20	6	48	11.5		N	122	42.4		W	"Other plants: Sambucus racemosa, Heracleum lanatum, Symphoricarpos alba, Holodiscus discolor."	Flowers pink and white; uncommon; gravelly soil.	Introduced	Flowering & Fruiting
WTU	355884	Fabaceae	Trifolium	microdon	H. & A.					Trifolium microdon	Trifolium microdon	Ben Legler	20	May	2004	Ben Legler		1572		1572	"David Giblin, Barbara Williams, Molly Bernstein"	7	May	2004	Ben Legler_2004-May-7__A	USA	Washington	Island	"Whidbey Island, Ebey?s Landing Preserve, The Nature Conservancy; around southwest side of Perego?s Lagoon."	5	2	48	11	52.1	N	122	43	36.6	W	"Salt marsh, with Salicornia, Lathyrus japonicus, grasses."	"Uncommon; in drier open areas of marsh; flowers 3 mm, whitish-pink."	Native	Flowering
WTU	357105	Fabaceae	Trifolium	pratense	L.					Trifolium pratense	Trifolium pratense	Ben Legler	7	Oct	2004	Don Knoke		721		721		10	Sep	2004	Don Knoke_2004-Sep-10__B	USA	Washington	Island	Whidbey Island; roadside along Hill Road near Ebey?s Landing parking lot.	20	6	48	11.5		N	122	42.4		W	"Other plants: Sambucus racemosa, Heracleum lanatum, Symphoricarpos alba, Holodiscus discolor."	Flowers deep pink; uncommon; gravelly soil.	Introduced	Flowering
WTU	355978	Fabaceae	Trifolium	procumbens	L.					Trifolium procumbens	Trifolium campestre	Ben Legler	28	Jun	2004	Ben Legler		1712		1712		4	Jun	2004	Ben Legler_2004-Jun-4__D	USA	Washington	Island	"Whidbey Island, Ebey?s Landing; at beach-side parking lot on Hill Road."	7	2	48	11.56		N	122	42.44		W	Weedy gravel parking area bordering gravelly beach and driftwood.	Flowers yellow; scattered on gravelly road shoulder.	Introduced	Flowering
WTU	356098	Fabaceae	Trifolium	repens	L.					Trifolium repens	Trifolium repens	Ben Legler	28	Jun	2004	Peter W. Dunwiddie	PWD 	120		PWD 120	"Jeff Walker, Sharon Rodman, Susan Zwinger"	4	Jun	2004	Peter W. Dunwiddie_2004-Jun-4__G	USA	Washington	Island	"Whidbey Island, Ebey?s Landing; at parking area on beach on Hill Road; TNC and state park land."	7	2	48	11.56		N	122	42.44		W	Open beach along road; disturbed; Leymus mollis.	White flowers; prostrate; lawn weed; full sun; parking lot.	Introduced	Flowering
WTU	355530	Fabaceae	Trifolium	tridentatum	Lindl.					Trifolium tridentatum	Trifolium willdenowii	Ben Legler	20	May	2004	Peter W. Dunwiddie	PWD 	81		PWD 81		30	Apr	2004	Peter W. Dunwiddie_2004-Apr-30__E	USA	Washington	Island	"Whidbey Island, Ebey?s Landing; Hill Road c. 1 km South of main parking lot, just below summit of road.  Bluff to west of road."	171	52	48	11	.258	N	122	42	.113	W	"Steep bluff dominated by native and exotic grasses with Lupinus, Eriophyllum, and Achillea; backed by conifer woods."	"Flowers light purple-pink; in moist, grassy area on top of bluff."	Native	Flowering
WTU	356481	Fabaceae	Ulex	europaeus	L.					Ulex europaeus	Ulex europaeus	Ben Legler	20	May	2004	Peter W. Dunwiddie	PWD 	37		PWD 37		30	Apr	2004	Peter W. Dunwiddie_2004-Apr-30__C	USA	Washington	Island	"Whidbey Island, Ebey?s Landing National Historic Preserve Bluff Trail.  2 KM north from main parking lot.  Along Trail and nearby woods at top of bluff."			48	11.82		N	122	43.183		W	"Sandy, west-facing, exposed bluff dominated by grasses, Achillea, Vicia; wind-swept Pseudotsuga forest with Ribes, Berberis."	Flowers yellow; on steep part of bluff.	Introduced	Flowering
WTU	356478	Fabaceae	Vicia	americana	Muhl.	var.	truncata	(Nutt.) Brew.		Vicia americana var. truncata	Vicia americana ssp. americana	Ben Legler	20	May	2004	Peter W. Dunwiddie	PWD 	17		PWD 17		30	Apr	2004	Peter W. Dunwiddie_2004-Apr-30__A	USA	Washington	Island	"Whidbey Island, Ebey?s Landing State Park, along the bluff north of the parking lot."	60	18	48	11.641		N	122	42.592		W	"At crest of bluff, edge of trail and hayfield.  Abundant Bromus rigidus."		Native	Flowering
WTU	355861	Fabaceae	Vicia	gigantea	Hook.					Vicia gigantea	Vicia nigricans ssp. gigantea	Ben Legler	20	May	2004	Ben Legler		1579		1579	"David Giblin, Barbara Williams, Molly Bernstein"	7	May	2004	Ben Legler_2004-May-7__B	USA	Washington	Island	"Whidbey Island, The Nature Conservancy?s Ebey?s Landing Preserve; along top of bluff above Perego?s Lagoon at about midway point of lagoon."	200	61	48	12	7.6	N	122	43	54.1	W	Open grassy bluff and Pseudotsuga woods.	Flowers pink fading to ochroleucous; on edge of woods.	Native	Flowering
WTU	355522	Fabaceae	Vicia	gigantea	Hook.					Vicia gigantea	Vicia nigricans ssp. gigantea	Ben Legler	20	May	2004	Peter W. Dunwiddie	PWD 	71		PWD 71		30	Apr	2004	Peter W. Dunwiddie_2004-Apr-30__E	USA	Washington	Island	"Whidbey Island, Ebey?s Landing; Hill Road c. 1 km South of main parking lot, just below summit of road.  Bluff to west of road."	171	52	48	11	.258	N	122	42	.113	W	"Steep bluff dominated by native and exotic grasses with Lupinus, Eriophyllum, and Achillea; backed by conifer woods."		Native	Flowering
WTU	355647	Fabaceae	Vicia	hirsuta	(L.) S.F. Gray					Vicia hirsuta	Vicia hirsuta	Ben Legler	20	May	2004	Ben Legler		1503		1503		30	Apr	2004	Ben Legler_2004-Apr-30__B	USA	Washington	Island	"Whidbey Island, Ebey?s Landing State Park; along beach 1/4 mile from parking lot."	7	2	48	11.64		N	122	42.67		W	"Area behind driftwood by beach; Rosa nutkana, grasses; sandy-gravelly soil."	Flowers white; occasional on grassy slope above beach.	Introduced	Flowering
WTU	356637	Fabaceae	Vicia	hirsuta	(L.) S.F. Gray					Vicia hirsuta	Vicia hirsuta	Ben Legler	20	May	2004	Peter W. Dunwiddie	PWD 	40		PWD 40		30	Apr	2004	Peter W. Dunwiddie_2004-Apr-30__C	USA	Washington	Island	"Whidbey Island, Ebey?s Landing National Historic Preserve Bluff Trail.  2 KM north from main parking lot.  Along Trail and nearby woods at top of bluff."			48	11.82		N	122	43.183		W	"Sandy, west-facing, exposed bluff dominated by grasses, Achillea, Vicia; wind-swept Pseudotsuga forest with Ribes, Berberis."	Small white flowers; common at forest edge.	Introduced	Flowering
WTU	355865	Fabaceae	Vicia	sativa	L.	var.	angustifolia	(L.) Wahlb.		Vicia sativa var. angustifolia	Vicia sativa ssp. nigra	Ben Legler	20	May	2004	Ben Legler		1505		1505		30	Apr	2004	Ben Legler_2004-Apr-30__B	USA	Washington	Island	"Whidbey Island, Ebey?s Landing State Park; along beach 1/4 mile from parking lot."	7	2	48	11.64		N	122	42.67		W	"Area behind driftwood by beach; Rosa nutkana, grasses; sandy-gravelly soil."	flowers red-purple; uncommon on grassy slope above beach.	Introduced	Flowering
WTU	355866	Fabaceae	Vicia	villosa	Roth					Vicia villosa	Vicia villosa	Ben Legler	20	May	2004	Ben Legler		1504		1504		30	Apr	2004	Ben Legler_2004-Apr-30__B	USA	Washington	Island	"Whidbey Island, Ebey?s Landing State Park; along beach 1/4 mile from parking lot."	7	2	48	11.64		N	122	42.67		W	"Area behind driftwood by beach; Rosa nutkana, grasses; sandy-gravelly soil."	Flowers purple; not strongly bicolored; abundant on grassy slope above beach.	Introduced	Flowering
WTU	355898	Fabaceae	Vicia	villosa	Roth					Vicia villosa	Vicia villosa	Ben Legler	20	May	2004	Peter W. Dunwiddie	PWD 	22		PWD 22		30	Apr	2004	Peter W. Dunwiddie_2004-Apr-30__B	USA	Washington	Island	"Whidbey Island, Ebey?s Landing.  A little over KM from parking lot, north on trail, at entrance of Robert Pratt Preserve."	137	42	48	11.757		N	122	42.993		W	Edge of bluff.	Purple flowers; abundant on bluff.	Introduced	Flowering
